src,dst
111,1320853
204,1219929
204,4576625
204,2488129
207,3233661
531,5055964
607,4139596
757,1982895
974,3651205
1112,5361889
1114,3510896
1178,1443640
1302,2592986
1308,3812282
1457,2800326
1457,4019520
1496,4937112
1738,4541954
1782,3060526
1782,3361040
1782,807817
1782,4832356
1782,721419
1782,2085457
1782,2673587
1782,4592295
1782,4035919
1954,2611126
1991,2819924
2048,4874093
2054,22778
2151,1315869
2189,2397197
2189,3234999
2189,1030428
2189,1062903
2189,2928397
2189,2486078
2189,3000041
2422,5432343
2511,571537
2659,3734968
2691,1256125
2870,2921719
2948,5274256
3040,4020241
3117,3368344
3117,4567294
3156,4630919
3230,922687
3234,4986507
3341,59993
3667,4978779
3720,4231752
3823,462809
3894,679745
3894,807038
3894,1664620
4093,4412430
4093,318859
4134,4504748
4190,2467033
4190,5112520
4218,1889222
4502,4792041
4528,430487
4640,2325723
4640,3898003
4640,3737565
4640,5002329
4640,2945701
4640,3138932
4640,67832
4640,2945491
4655,2189024
4707,3036278
4707,3529934
4707,2915846
4707,3347907
4836,5067467
4836,3028264
4955,1152503
5000,130350
5000,318976
5000,549905
5000,3774039
5000,3467081
5000,2097868
5000,2726040
5000,2511780
5000,1575642
5000,1195332
5000,329760
5000,3501675
5000,1968451
5000,4630710
5000,88585
5000,3780117
5000,795805
5000,3170363
5000,3935681
5000,1057851
5000,4377597
5000,5279145
5000,4213831
5000,597515
5000,3412901
5105,834768
5105,1898568
5112,2633029
5112,2581265
5122,2547920
5122,1591616
5122,2705434
5122,1691591
5122,5423791
5122,3199322
5122,3142455
5122,5395041
5122,1676451
5122,5519651
5122,1770554
5122,175031
5122,911984
5122,355114
5122,251811
5122,3220036
5122,3896106
5122,3918713
5122,4994669
5122,2822591
5122,4729584
5122,4902752
5122,3469027
5122,1389559
5316,400550
5380,1247618
5440,4238918
5478,1265425
5692,4913001
5692,4416047
5692,2113158
5783,2957620
5783,937874
5783,4972695
5783,5318273
5783,3331660
5783,2235657
5783,4881818
5783,2350054
5783,2569562
5783,1081002
5783,5590840
5783,3715354
5783,1343279
5783,1698710
5783,4945050
5783,316871
5783,1759671
5783,2319125
5783,2951184
5783,4652223
5783,86833
5783,133434
5783,4242882
5783,4486472
5783,4616419
5783,4108742
5783,1336681
5783,4612896
5783,789065
5783,3707134
5783,867542
5783,4698732
5783,1077763
5783,3718005
5783,5490722
5793,899137
6008,3136506
6240,5587837
6285,2383659
6383,1744254
6420,247889
6689,4954080
6758,5066767
6842,3480697
6872,449765
6872,783671
7003,3651388
7003,4301115
7003,1772839
7003,399794
7003,1446778
7003,4327233
7003,1821757
7003,3896308
7003,3469015
7003,1918074
7003,838649
7003,2728764
7003,4275507
7003,105932
7003,5179252
7003,4909910
7003,78189
7003,4466032
7146,3681801
7146,4252425
7146,118637
7299,4370123
7512,799249
7533,1420522
7533,3617481
7596,2706551
7693,1057302
7693,1689165
7799,4861824
7976,1093947
8151,2378970
8189,4333446
8189,3180420
8270,5528402
8270,2178996
8454,1402697
8459,5317314
8563,2126174
8563,1192395
8688,1065206
8850,5337806
9166,2141469
9239,1823001
9449,4797041
9842,3046502
9994,3537762
10008,1366746
10044,5208142
10198,3097118
10227,1594468
10424,2082856
10615,545522
10714,4672545
10830,4047336
10830,1057005
10830,1324808
10929,274661
11043,4769359
11263,1518163
11277,1737133
11376,2296669
11400,2986788
11443,5123345
11460,3117879
11661,3159585
11661,592867
11661,3726262
11821,4226060
11864,5087096
11891,2577670
12198,5391412
12477,1746657
12819,4125409
12876,4893359
12943,4139336
12997,3934380
12997,3480678
13024,340832
13124,1806402
13124,3488119
13124,801013
13128,2695367
13581,2724799
13581,1293790
13758,5280256
13772,1142993
13773,2758032
14016,1218866
14127,1594468
14159,1816768
14159,1125398
14214,97013
14214,2751658
14458,1260761
14536,5000182
14631,2292869
14631,1148862
14631,4057099
14631,4600760
14981,2341873
15166,3430102
15166,5556895
15244,3299262
15244,191726
15283,284773
15378,3768423
15409,544403
15418,2767438
15681,1213656
15681,133276
15796,303372
15796,1731552
16010,658416
16010,4905628
16010,1496784
16093,3603969
16184,918258
16221,548440
16231,4551421
16231,4222975
16231,4241331
16231,5054528
16231,4020088
16231,722328
16231,4094117
16231,2049476
16231,3634286
16231,3166064
16231,5578841
16231,2258455
16231,4346782
16231,5513811
16231,878831
16231,4145213
16231,863698
16271,4432362
16309,3428917
16389,3573638
16442,3494553
16652,698139
16830,5203887
16879,550570
16879,2930001
16879,1090883
16879,3569480
16879,236673
16879,2361997
16893,847800
17017,4620093
17019,5438745
17019,842347
17019,1787400
17019,1789459
17019,4309279
17019,5176203
17019,222669
17019,425625
17019,3699062
17019,398644
17167,5330843
17280,4503427
17316,2456693
17320,136870
17424,1472677
17441,3151046
17528,400885
17572,1926572
17647,3881579
17722,421584
17722,124533
17827,4092511
17869,928331
17982,4854439
18131,1463163
18457,3012211
18470,4058419
18706,736648
18706,1937940
18866,675233
19013,4713836
19013,1550594
19091,3462369
19091,2588811
19166,4378989
19166,4077750
19166,1756108
19166,609849
19166,3109869
19166,1215831
19166,306432
19166,4593020
19166,112652
19166,4537617
19166,3920987
19166,4728869
19193,4489110
19193,3139543
19365,3720691
19374,1792278
19378,2137286
19460,2091869
19615,662057
19641,4297485
19893,288258
19925,3072380
20048,1011574
20101,3200476
20190,2035159
20222,1210491
20223,1480750
20265,4310081
20355,322196
20642,1800346
20783,2101363
20783,1413679
20783,3539812
20783,1121697
20783,3010364
20783,1288749
20783,844169
20783,3729486
20783,3531973
20788,3551712
20788,2016880
20897,355741
21059,4772841
21086,1497738
21372,4058272
21397,1977459
21708,536864
21708,1624797
21708,789065
21708,3974166
21708,754162
21708,1852390
21708,4437120
21708,1830584
21708,3653629
21708,5261848
21708,4710062
21708,2507544
21708,4466177
21708,3452068
21708,2615268
21708,3071924
21708,3178256
21708,2356891
21708,3702733
21708,3365871
21708,3996785
21708,3026775
21708,3822109
21708,843158
21708,5297112
21708,4868741
21940,3573618
21940,4175738
21940,5451045
21940,4581748
21940,3513453
22175,4740181
22175,4612825
22193,4599357
22259,1230526
22323,958843
22323,2054239
22530,546740
22545,4718804
22545,2377176
22545,3046845
22545,2023455
23025,4182895
23050,2637600
23184,787658
23184,2440405
23187,1106513
23199,41009
23199,1441782
23417,3949089
23417,3075828
23417,1397263
23417,3213841
23417,2698542
23417,1891443
23417,2687716
23417,5555752
23417,1049274
23417,5300766
23417,1885201
23417,2553466
23417,3656413
23417,2358216
23417,2094127
23417,4371007
23417,688001
23417,736887
23417,1544884
23417,2075574
23417,5461479
23417,511668
23417,1095650
23417,4993674
23417,1398355
23417,5414931
23509,3600854
23530,4804939
23541,3710290
23541,2663097
23591,1263140
23591,3789045
23744,4912441
23861,1651333
23956,4001326
23976,5268275
24471,2115719
24594,4538450
24766,4521260
24766,4379851
24832,708283
24832,1018438
25111,4263079
25111,1008961
25111,4699468
25111,2040046
25111,5435866
25111,2916935
25111,183265
25111,5215708
25111,1843001
25111,3231030
25111,2686877
25111,4923349
25111,299446
25111,4295790
25111,4246927
25111,1275023
25111,2955990
25111,3755017
25111,2155340
25111,1346001
25111,4714643
25111,3290959
25111,3877191
25111,5180889
25111,320997
25111,427139
25111,3152165
25111,4503151
25111,2360263
25111,3877705
25111,3502586
25111,2315538
25111,4852666
25111,5052818
25111,205987
25111,2450816
25111,4982299
25111,4682091
25111,1713643
25111,3424518
25111,442909
25111,2348556
25111,4699014
25111,1383339
25111,1799482
25111,469526
25111,2698466
25111,3515509
25111,4753258
25111,897147
25111,539546
25111,5244199
25111,3687837
25111,2041188
25111,958464
25111,1323725
25111,5496298
25111,5224449
25111,427134
25111,5487878
25117,4687752
25162,3651106
25356,356862
25457,1502064
25725,4997725
25777,1718736
25823,3703222
26073,1552127
26085,17254
26100,5054594
26227,3550093
26316,1672244
26366,1488702
26425,4411915
26426,5254323
26478,677028
26478,5004137
26478,2182942
26478,4613282
26660,1808010
26690,4552707
26895,3622714
26895,5036716
26960,3583745
27171,3973604
27382,2525197
27590,1717008
27590,3082628
27808,1556520
27808,420711
27905,4181624
28005,998977
28024,2930608
28034,1789908
28034,1264652
28260,5336370
28439,4238288
28441,110683
28441,5021889
28532,2542410
28724,702341
28724,3341394
28724,2212364
28724,5195150
28828,124533
28828,421584
28890,3193337
29230,3043545
29261,1529402
29326,2197896
29377,5574628
29377,2292869
29377,3947816
29377,3540627
29377,4177507
29377,1501931
29519,2735920
29569,4100818
29627,93995
29698,664731
29700,3639779
29797,1324509
29797,5512590
29847,2574281
29847,954020
29967,3425504
29967,5104810
29986,3535851
30000,3527954
30008,2171562
30120,1762077
30152,979192
30160,4071904
