user_id,gender,timePassedValidation,ageGroup,label
104,0,0.0,20,1
111,1,0.2625,30,0
126,0,0.0,30,1
204,1,0.15,30,0
207,0,0.7,40,0
241,0,0.0,20,1
395,0,0.0,20,1
522,0,0.0375,10,0
531,1,0.4625,50,0
607,1,0.025,20,1
619,0,0.0,20,1
728,1,0.575,30,0
757,0,0.875,30,0
807,1,0.1375,20,0
885,0,0.1,30,0
938,0,0.0,10,1
974,1,0.225,50,0
995,0,0.0,10,1
1015,0,0.0,30,0
1034,0,0.0,20,1
1075,0,0.0,20,1
1112,1,0.025,20,0
1114,1,0.2375,40,0
1118,1,0.4125,20,1
1178,0,0.0125,20,0
1195,1,0.9125,40,0
1288,1,0.2,40,0
1292,1,0.025,10,0
1302,1,1.0,30,0
1308,1,0.9625,40,0
1457,1,0.0375,30,0
1496,1,0.0125,30,1
1526,0,0.0375,20,0
1630,0,0.2375,50,0
1721,0,0.0,20,1
1738,1,0.275,50,0
1775,1,0.3125,30,0
1782,1,0.8625,30,0
1784,1,0.075,20,0
1823,1,0.0,60,0
1884,0,1.0,30,0
1902,1,0.175,20,1
1918,0,0.525,30,0
1950,1,0.85,30,0
1954,1,0.0625,50,1
1991,1,0.0625,20,0
2048,1,0.6125,30,0
2054,1,0.3125,40,0
2093,0,0.0,20,1
2151,1,0.0,40,0
2164,1,0.0375,30,0
2183,0,0.0,20,0
2189,1,0.5,30,0
2259,0,0.0375,20,1
2337,0,0.0,20,1
2422,1,0.6375,30,0
2511,1,0.075,30,0
2547,1,0.6875,50,0
2639,0,0.0,20,1
2659,1,0.15,20,0
2664,1,0.4125,20,0
2677,1,0.0,40,1
2691,1,0.0375,20,0
2870,1,0.9875,20,0
2948,0,0.525,30,0
2955,1,0.9375,40,0
2993,0,0.0125,30,0
3040,0,0.025,20,1
3069,1,0.6375,30,0
3117,1,0.0125,30,0
3151,0,0.0125,20,0
3156,1,0.4375,50,0
3200,0,0.0,20,1
3230,1,0.5875,40,1
3234,1,0.1625,50,0
3241,0,0.2125,30,0
3252,1,0.0,50,1
3341,0,0.525,40,0
3351,1,0.225,40,0
3352,1,0.625,20,0
3502,1,0.0,20,0
3506,0,0.0,20,1
3545,0,0.0,20,1
3617,0,0.0,20,0
3667,1,0.0125,20,0
3680,0,0.025,30,0
3720,1,0.0875,30,0
3805,0,0.0,30,0
3808,0,0.0,20,1
3823,1,0.75,30,0
3831,1,0.1625,60,0
3886,0,0.5875,20,0
